datetime_beginning_utc,datetime_beginning_ept,area,solar_generation_mw
1/3/2020 10:00:00 AM,1/3/2020 5:00:00 AM,RTO,-2.990
1/3/2020 10:00:00 AM,1/3/2020 5:00:00 AM,RFC,-1.335
1/3/2020 11:00:00 AM,1/3/2020 6:00:00 AM,MIDATL,-1.100
1/3/2020 11:00:00 AM,1/3/2020 6:00:00 AM,OTHER,-0.017
1/3/2020 11:00:00 AM,1/3/2020 6:00:00 AM,SOUTH,-1.731
1/3/2020 11:00:00 AM,1/3/2020 6:00:00 AM,WEST,-0.214
1/3/2020 11:00:00 AM,1/3/2020 6:00:00 AM,RTO,-3.045
1/3/2020 11:00:00 AM,1/3/2020 6:00:00 AM,RFC,-1.314
1/3/2020 12:00:00 PM,1/3/2020 7:00:00 AM,MIDATL,1.593
1/3/2020 12:00:00 PM,1/3/2020 7:00:00 AM,OTHER,0.001
